Name,Headquarters,Sector/Industry,Careers/Jobs Link,Internships
Citymapper,UK/London,Tech/App/Routing,https://citymapper.com/jobs/,Unknown
Waymo,US/CA/Mountain View,Tech/Autonomous Cars,https://careers.google.com,True
Google,US/CA/Mountain View,Tech,https://careers.google.com,True
BMW,DE/Munich,Tech/Cars,https://bmwgroup.jobs/,True
Flexport,US/CA/San Francisco,Tech/Logistics,https://www.flexport.com/careers,Unknown
Chariot,US/CA/San Francisco,Tech/App/Ride Share,https://www.chariot.com/careers,Unknown
Apple,US/CA/Cupertino,Tech,https://www.apple.com/jobs,True
HDR,US/NE/Omaha,Design/Build,http://www.hdrinc.com/careers,True
Two Sigma,US/NY/New York,Tech/Data Science,https://www.twosigma.com/careers,True
Metrolink,US/CA/Los Angeles,Public Transportation Agency,http://www.metrolinktrains.com/agency/page/title/careers_home,True
Los Angeles County Metropolitan Transportation Authority,US/CA/Los Angeles,Public Transportation Agency,https://www.metro.net/about/jobs,True
Uber,US/CA/San Francisco,Tech/App/Ride Share,https://www.uber.com/en/careers/,True
Parsons,US/CA/Pasadena,Design/Build,https://careers.parsons.com,True
Ride With GPS,US/OR/Portland,Tech/App/Cycling,https://ridewithgps.com,Unknown
Alta Planning + Design,US/OR/Portland,Design/Build,http://altaplanning.com/careers/,Unknown
NVIDIA,US/CA/Santa Clara,Tech,http://www.nvidia.com/object/careers.html,True
WSP | Parsons Brinckerhoff,US/NY/New York,Design/Build,http://www.wsp-pb.com/en/Careers/Job-Opportunities/,True
Copenhagenize Design Company,DK/Copenhagen,Design/Build,http://copenhagenize.eu/,True
Daimler,DE/Stuttgart,Cars,http://www.daimler.com/career/,True
Transit,CA/Montreal,Tech/App/Routing,https://transitapp.com/jobs,Unknown
Tesla,US/CA/Palo Alto,Tech/Cars,https://www.tesla.com/careers,True
Moovel Group,DE/Stuttgart,Tech/App,https://moovel-group.com/en/careers,Unknown
Transportation for America,US/DC,Policy,http://t4america.org/about/jobs/,True
Smartcar,US/CA/Mountain View,Tech/Cars,https://jobs.lever.co/smartcar,Unknown
Cruise,US/CA/San Francisco,Tech/Autonomous Cars,https://jobs.lever.co/cruise,Unknown
National Association of City Transportation Officials,US/NY/New York,Policy/Transportation Agency,http://nacto.org/careers/,Unknown
Oregon Metro,US/OR,Transportation Agency,https://www.governmentjobs.com/careers/oregonmetro,Unknown
California High-Speed Rail Authority,US/CA/Sacramento,Design/Build,http://hsr.ca.gov/About/Careers/current_job_openings.html,Unknown
Transportation Technology Center,US/CO/Pueblo,Railroad,https://jobs-aar.icims.com/jobs/,Unknown
Gett,US/NY/New York,Tech/App/Ride Share,https://gett.com/careers/,Unknown
Citilabs,US/CA/Sacramento,Tech/Traffic Modeling,http://www.citilabs.com/about/job-opportunities/,Unknown
Caliper,US/MA/Newton,Tech/Traffic Modeling,http://www.caliper.com/jobs.htm,Unknown
GE Transportation,US/IL/Chicago,Railroad Vehicles,http://www.ge.com/careers,True
GE Digital,US/MA/Boston,Train Control,https://talent.gecareers.com/digital,Unknown
INRIX,US/WA/Kirkland,Tech/Data Science,http://inrix.com/careers/,True
ParkMe,US/CA/Santa Monica,Tech/App/Parking,https://www.parkme.com/jobs,Unknown
AirSage,US/GA/Atlanta,Tech/Data Science/Location,http://www.airsage.com/Careers/,Unknown
StreetLight Data,US/CA/San Francisco,Tech/Data Science/Location,http://info.streetlightdata.com/contact,Unknown
PTV,DE/Karlsruhe,Traffic Simulation,http://www.ptvgroup.com/en/ptv-group/careers/,Unknown
Harsco Rail,US/SC/Columbia,Railroad Equiptment,http://www.harsco.com/careers,Unknown
Panasonic,US/NJ/Newark,Car Components,http://shop.panasonic.com/careers,Unknown
Lilium,DE/Munich,Aviation,https://lilium.com/careers/,True
Trimble,US/CA/Sunnyvale,Railroad Equiptment,http://www.trimble.com/Careers/job-search.aspx,True
NIO,US/CA/San Jose,Tech/Cars,http://www.nio.io/careers,Unknown
Oxbotica,UK/Oxford,Tech/Autonomous Cars,http://www.oxbotica.com/jobs/,Unknown
Zendrive,US/CA/San Francisco,Tech/Data Science/Safety,https://boards.greenhouse.io/zendrivejobs,Unknown
Stantec,CA/Edmonton,Design/Build,http://www.stantec.com/careers.html,True
INIT,DE/Karlsruhe,Public Transportation Control,http://www.initag.de/en/jobs/jobs.php,Unknown
Stadler,CH/Bussnang,Railroad Vehicles,http://www.stadlerrail.com/en/meta/careers/,Unknown
Pix4D,CH/LaUSnne,Drone Mapping,https://pix4d.com/jobs/,Unknown
Kinkisharyo,US/CA/El Segundo,Railroad Vehicles,http://www.kinkisharyo.com/contact/,Unknown
Airwave,US/CA/San Francisco,Drones,https://boards.greenhouse.io/airware,Unknown
Balfour Beatty,UK/London,Design/Build,https://www.balfourbeatty.com/careers/job-search,Unknown
Remix,US/CA/San Francisco,Tech/Data Science,https://jobs.lever.co/remix,Unknown
Argo AI,US/PA/Pittsburg,Tech/Autonomous Cars,https://www.argo.ai/careers/,Unknown
Airwave,US/CA/Santa Monica,Drones,http://www.airware.com/careers,Unknown
Meteorcomm,US/WA/Renton,Rail Wireless,http://meteorcomm.com/careers,Unknown
Via,US/NY/New York,Tech/App/Ride Share,https://ridewithvia.com/jobs/,Unknown
Transdev North America,US/IL/Lombard,Public Transportation Operations,http://www.transdevna.com/Careers.aspx,Unknown
National Highway Traffic Safety Administration,US/DC,Policy,https://www.nhtsa.gov/about-nhtsa/careers-and-internships,True
Afi,US/CA/San Francisco,Tech/Data Science,https://afi.io/,Unknown
High Street Consulting Group,US/PA/Pittsburg,Consulting,http://highstreetconsulting.com,Unknown
Center for Data-Intensive Transportation Research,US/MI/Ann Arbor,Tech/Data Science,http://midas.umich.edu/careers/,Unknown
MS2,US/MI/Ann Arbor,Data Science,http://www.ms2soft.com,Unknown
Fehr and Peers,US/CA/Walnut Creek,Design/Build,http://www.fehrandpeers.com/careers/,True
RPM Transportation Consultants,US/TN/Nashville,Design/Build,http://www.rpmtraffic.net/careers/,Unknown
Berg and Associates,US/CA/San Pedro,Design/Build,http://www.bergcm.com/careers.html,Unknown
Kimley-Horn,US/NC/Raleigh,Design/Build,http://www.kimley-horn.com/join-our-team,Unknown
Sidewalk Labs,US/NY/New York,Tech/Data Science,https://boards.greenhouse.io/sidewalklabs,Unknown
Street Plans,US/NY/New York,Design/Build,http://www.street-plans.com/our-firm/our-firm/,Unknown
Senozon,CH/Zurich,Data Science/Traffic Simulation,http://senozon.com/about-us,Unknown
Railinc,US/NC/Cary,Railroad,https://www.railinc.com/rportal/working-at-railinc,True
Herzog,US/MO/St. Joseph,Design/Build Rail,http://www.herzog.com/careers/,True
Hensel Phelps,US/VA/Chantilly,Design/Build,http://www.henselphelps.com/careers,True
Traffic Technology Services,US/OR/Portland,ITS,http://www.traffictechservices.com/careers.html,Unknown
Porsche Digital,US/CA/Santa Clara,Tech/Cars,,Unknown
Volkswagen Group Electronics Research Lab,US/CA/Belmont,Tech/Cars,,Unknown
Hyundai Ventures,US/CA/Menlo Park,Tech/Cars,,Unknown
General Motors Advanced Technology,US/CA/Palo Alto,Tech/Cars,,Unknown
Ford Silicon Valley Lab,US/CA/Palo Alto,Tech/Cars,,Unknown
Bosch Research and Technology Center North America,US/CA/Sunnyvale,Tech/Cars,,Unknown
Toyota InfoTechnology Center US,US/CA/Mountain View,Tech/Cars,,Unknown
Honda Innovations,US/CA/Mountain View,Tech/Cars,,Unknown
BMW Group Technology Office,US/CA/Mountain View,Tech/Cars,,Unknown
Delphi Labs,US/CA/Mountain View,Tech/Cars,,Unknown
Nissan Research Center,US/CA/Sunnyvale,Tech/Cars,,Unknown
Mercedes-Benz Research & Development North America,US/CA/Sunnyvale,Tech/Cars,,Unknown
Continental Tire Company,US/CA/San Jose,Tech/Cars,,Unknown
nuTonomy,US/MA/Cambridge,Tech/Autonomous Cars,http://nutonomy.com/jobs,Unknown
Hyperloop One,US/CA/Los Angeles,Tech/Hyperloop,https://hyperloop-one.com/careers,Unknown
NavVis,DE/Munich,Tech/Indoor Navigation,http://www.navvis.com/company/careers/,True
World Bank,US/DC,Policy,http://www.worldbank.org/en/about/careers,True
SMA,CH/Zurich,Rail,http://www.sma-partner.com/en/jobs/current-positions,True
TTK,DE/Karlsruhe,Consulting,http://www.ttk.de/en/global/jobs.php?thisID=76,True
The Boring Company,US/CA/Los Angeles,Tunnels,https://www.boringcompany.com/jobs/,Unknown
Lyft,US/CA/San Francisco,Tech/App/Ride Share,https://www.lyft.com/jobs,Unknown
Konux,DE/Munich,Tech/Sensors,https://www.konux.com/career/,Unknown
Flixbus,DE/Munich,Tech/App/Bus,https://www.flixbus.com/company/jobs,True
Siemens,DE/Munich,Rail/Traffic,https://jobs.siemens-info.com/jobs,True
