Name,Format,URL
Research to Practice Transit Symposium,Online/Free,https://www.transportation.institute.ufl.edu/2025-research-to-practice-transit-symposium/
Modeling Mobiling Conference,In Person,https://zephyrtransport.org/momo/
Bridging Transportation Researchers,Online/Free,https://bridgingtransport.org
International Conference on Transport Survey Methods,In Person,
International Choice Modelling Conference,In Person,https://icmconference.org.uk
World Conference on Transport Research Society,In Person,https://wctrs-society.com
Designing Cities Conference,In Person,https://nacto.org/events/about-the-designing-cities-conference/
European Transport Conference,In Person,https://aetransport.org/etc
ITS World Congress / ITS America Conference & Expo,In Person,https://www.itsamericaevents.com
ITS California Conference & Exhibition,In Person,https://www.itscalifornia.org
Transforming Transportation,In Person,https://www.transformingtransportation.org
Mass Trans Innovation Japan,In Person,https://www.mtij.jp/
Innotrans,In Person,https://www.innotrans.de
ASTR Conference,InPerson,https://www.aostr.org/annualconference
