Name,Wikipedia Link,Personal Link
Vukan R. Vuchic,https://en.wikipedia.org/wiki/Vukan_R._Vuchic,
Donald Shoup,https://en.wikipedia.org/wiki/Donald_Shoup,http://www.shoupdogg.com
Edward Tufte,https://en.wikipedia.org/wiki/Edward_Tufte,https://www.edwardtufte.com
Charlie Miller,https://en.wikipedia.org/wiki/Charlie_Miller_(security_researcher),
Chris Valasek,https://en.wikipedia.org/wiki/Chris_Valasek,
Edsger Wybe Dijkstra,https://en.wikipedia.org/wiki/Edsger_W._Dijkstra,
Rem Koolhaas,https://en.wikipedia.org/wiki/Rem_Koolhaas,
Anthony Downs,https://en.wikipedia.org/wiki/Anthony_Downs,
Andrej Karpathy,,http://cs.stanford.edu/people/karpathy/
Daniel McFadden,https://en.wikipedia.org/wiki/Daniel_McFadden,https://eml.berkeley.edu/~mcfadden/
Hani S. Mahmassani,,http://www.transportation.northwestern.edu/mahmassani/
Laura Leal-Taixé,,https://lealtaixe.github.io
Moshe Ben-Akiva,https://en.wikipedia.org/wiki/Moshe_Ben-Akiva,https://cee.mit.edu/people_individual/moshe-e-ben-akiva/
Bent Flyvbjerg,https://en.wikipedia.org/wiki/Bent_Flyvbjerg,
Ildefons Cerdà,https://en.wikipedia.org/wiki/Ildefons_Cerdà,
